"","revmodcode","revmodid","organization","transname","popname","year","outcome.goal","leader","ld","killed","arrested","executed","numdecaptries","leadersources","achieve.2018.scoring","partialsuccess.10.plus","completesuccess","orderedsuccess","separate","empire","overthrowtakeover","counterrev","reform","eliminateexpel","antisystem","polcommand","polorg.10.plus","age","duration","as","ks","sa","sas","terrorism","civilwar","size","violent","nv","mixed","demonl","demonc","turnedviolent","anyviolence","ungdp","wbgdp","polity","dem","state","area.of.operation","adversary","sponsorfights","ties","orgties","tiefights","fightingties","identrep","exclgvt","delta","perchange","delta.l2","perchange.l2","delta.l5","perchange.l5","percat","sizeclass"
"23","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2008,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,0,1,0,0,0,1,2,0,18,18,8,20,1,3,1,0,300,1,0,0,0,0,0,0,1401,1362,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,2,"AQA; al-Qaeda",0,NA,"Islamist Yemenis",1,100,50,200,200,250,500,"positive","Medium"
"24","224HP",224,"al-Qaeda in Arabia",NA,"al-Qaeda in Arabia",2008,"reestablish the Islamic Caliphate","Ibrahim Hassan Tali al-Asiri",0,0,0,0,0,NA,2,0,0,0,0,0,1,0,0,0,1,2,0,5,5,NA,NA,0,0,0,0,100,1,0,0,0,0,0,0,19714,19437,0,0,1,"Saudi Arabia","Saudi Arabia; Westerners",0,2,"al-Qaeda; IJY",0,NA,"Mujahedin",NA,0,0,0,0,0,0,"no.change","Small"
"25","80CB",80,"Tanzim al-Qaeda fi Jazirat al-'Arab","al-Qaeda in the Arabian Peninsula (AQAP)","AQAP",2009,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,1,0,0,0,0,1,4,0,0,0,3,6,1,4,1,0,250,1,0,0,0,0,0,0,46588,47002,20,1,1,"Yemen; Saudi Arabia","U.S.; Yemen; Saudi Arabia; Houthis",0,7,"al-Qaeda; AQA; IJY; HSM; ISI; AASB; Taliban",0,NA,"Islamist Saudis and Yemenis",NA,NA,NA,NA,NA,NA,NA,NA,"Medium"
"26","152EV",152,"al-Qaeda fi al-Yemen","al-Qaeda in Yemen","AQ-Yemen",2009,"establish Islamist state in Yemen","Nasser al-Wuhayshi",0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,1,2,0,19,19,2,8,0,0,1,0,400,1,0,0,0,0,0,0,1280,1240,8,0,1,"Yemen","Yemen; U.S.; Houthis",0,3,"AQA; AQAP; al-Qaeda",0,NA,"Islamist Yemenis",1,100,33.3333333333333,200,100,350,700,"positive","Medium"
"27","224HP",224,"al-Qaeda in Arabia",NA,"al-Qaeda in Arabia",2009,"reestablish the Islamic Caliphate","Ibrahim Hassan Tali al-Asiri",0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,1,2,0,6,6,NA,NA,0,0,1,0,60,1,0,0,0,0,0,0,16013,15655,0,0,1,"Saudi Arabia","Saudi Arabia; Westerners",0,3,"AQAP; al-Qaeda; IJY",0,NA,"Mujahedin",NA,-40,-40,-40,-40,-40,-40,"negative","Small"
"28","80CB",80,"Tanzim al-Qaeda fi Jazirat al-'Arab","al-Qaeda in the Arabian Peninsula (AQAP)","AQAP",2010,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,1,0,0,0,0,1,4,0,1,1,48,178,1,4,1,0,500,1,0,0,0,0,0,0,47925,48374,20,1,1,"Yemen; Saudi Arabia","U.S.; Yemen; Saudi Arabia; Houthis; Israel",0,5,"al-Qaeda; HSM; AQIM; ISI; AASB",0,NA,"Islamist Saudis and Yemenis",NA,250,100,NA,NA,NA,NA,"positive","Medium"
"29","80CB",80,"Tanzim al-Qaeda fi Jazirat al-'Arab/Ansar al-Sharia","al-Qaeda in the Arabian Peninsula (AQAP)","AQAP",2011,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,1,NA,10,1,0,1,0,1,0,0,0,0,1,4,0,2,2,75,408,1,6,1,0,2000,1,0,0,0,0,0,0,1334,1282,8,0,1,"Yemen; Saudi Arabia","Yemen; Saudi Arabia; U.S.; Houthis",0,6,"al-Qaeda; HSM; AQIM; Boko Haram; ISI; AASB",0,NA,"Islamist Saudis and Yemenis",NA,1500,300,1750,700,NA,NA,"positive","Large"
"30","80CB",80,"Ansar al-Sharia","Supporters of Islamic Law","Ansar al-Sharia",2012,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,1,0,0,0,0,1,4,0,3,3,198,963,1,20,1,0,1100,1,0,0,0,0,0,0,1345,1289,8,0,1,"Yemen; Saudi Arabia","Yemen; Saudi Arabia; U.S.; Houthis",0,5,"al-Qaeda; HSM; AQIM; ISI; AASB",0,NA,"Islamist Saudis and Yemenis",NA,-900,-45,600,120,NA,NA,"negative","Large"
"31","80CB",80,"Ansar al-Sharia","Supporters of Islamic Law","Ansar al-Sharia",2013,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,1,0,0,0,0,1,4,0,4,4,142,368,1,11,1,0,700,1,0,0,0,0,0,0,1422,1408,13,0,1,"Yemen; Saudi Arabia","Yemen; Saudi Arabia; U.S.; Houthis",0,5,"al-Qaeda; HSM; AQIM; ISIL; AASB",0,NA,"Islamist Saudis and Yemenis",NA,-400,-36.3636363636364,-1300,-65,NA,NA,"negative","Medium"
"32","80CB",80,"Ansar al-Sharia","Supporters of Islamic Law","Ansar al-Sharia",2014,"establish Islamist state in Arabia","Nasir Abdel Karim al-Wuhayshi",0,0,0,0,0,NA,6,0,0,0,0,1,0,0,0,0,1,4,0,5,5,34,64,1,20,1,0,4000,1,0,0,0,0,0,0,0,0,0,0,0,"Yemen; Saudi Arabia","Houthis; Yemen; Saudi Arabia; U.S.",0,5,"al-Qaeda; HSM; AQIM; IS; AASB",0,NA,"Islamist Saudis and Yemenis",NA,3300,471.428571428571,2900,263.636363636364,3750,1500,"positive","Large"
